category,Deal_of_day,best_seller,title,description,price,original-price,review,No_of_review,id,sponsered,prime_tag,start_url
bottle,,,,"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted",441,540,4.4 out of 5 stars,"23,695",BFBNF,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Aquaqlean Frosty Plastic Food Grade Fridge Square Water Bottle Set(6 Pieces, 1L,Assorted)",599,"1,080",3.6 out of 5 stars,"7,405",95VW6,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Milton Alive 750 Stainless Steel Water Bottle, 750 ml, Black",264,353,4.2 out of 5 stars,"4,275",9RJNJ,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle Set (6 pieces, Multicolor, Dotted pattern)",429,875,4.0 out of 5 stars,"1,203",P94V2,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle Set with Flip Cap (3 pieces, Multicolour, Dotted pattern)",299,445,4.1 out of 5 stars,496,P5XMM,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Fridge Water Bottle Set (6 pieces, Multicolour, Citrus Pattern)",449,690,4.3 out of 5 stars,"2,670",P5XN4,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Stainless Steel Insulated 24 Hours Hot or Cold Bottle Flask with Flip Lid and Cover, 1000ml, Silver",729,"1,350",4.1 out of 5 stars,"3,653",FXN3N,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottles 1L each - Set of 3, Multicolour",269,399,4.3 out of 5 stars,239,P5XN4,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottles, Set of 6 (1L each), Multicolor",469,699,4.3 out of 5 stars,197,PB972,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Familia FW-500 ml Stainless Steel Water Bottle (Set of 1,Silver)",259,299,4.0 out of 5 stars,237,D7PR6,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle Set with Flip Cap (Set of 3, 1L, Circular Pattern,Multicolour)",259,475,4.1 out of 5 stars,480,HCJPP,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Fridge Bottle Set (6 pieces, 1L, Checkered pattern, Multicolour)",399,700,4.4 out of 5 stars,"15,505",P7ZWQ,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello H2O Unbreakable Plastic Bottle Set, 1 Litre, Set of 6, Multicolour",684,"1,182",4.4 out of 5 stars,"6,828",IVBR4,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Borosil - Stainless Steel Hydra Nova - Vacuum Insulated Flask Water Bottle, 500 ML, SS Finish",753,825,4.3 out of 5 stars,365,VS1G1,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Milton Aqua 1000 Stainless Steel Water Bottle, 1 pc, 950 ml, Silver",343,441,4.0 out of 5 stars,"24,460",9R9W1,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,TRIOHOMES Water Bottle Led Temperature Display Double Walled Vacuum Insulated Stainless Steel Bottle 500 Ml,310,349,3.3 out of 5 stars,206,BP2M4,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Speedex Stainless Steel Fridge Water Bottle/Refrigerator Bottle/Thunder with Sipper Cap(Pack of 1, Black Colour, 1000 ml)",325,549,3.8 out of 5 stars,"2,217",FYVDR,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello H2O Unbreakable Plastic Bottle Set, 1 Litre, Set of 6, Multicolour",684,"1,182",4.4 out of 5 stars,"6,828",IVBR4,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello Puro Steel-X Benz?Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Black)",457,487,3.5 out of 5 stars,"4,448",THZR6,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Borosil Stainless Steel Hydra Trek - Vacuum Insulated Flask Water Bottle, 850 ML, Black","1,079","1,195",4.3 out of 5 stars,"19,342",VDTDS,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
