category,description,title,price,original-price,review,No_of_review,id,sponsered,prime_tag,Deal_of_day,Amazon_choice,start_url
stool,,,514.43,600,3.0 out of 5 stars,2,FB09FKJTL64,1,,,,https://www.amazon.in/s?k=stool
stool,,,699,"2,899",4.6 out of 5 stars,"6,324",FB01LYW5BFB,1,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,599,"2,899",4.5 out of 5 stars,56,FB08S6YWG8H,1,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,549,599,"Get it by Tuesday, May 24",,FB09ZPSHDWL,1,,,,https://www.amazon.in/s?k=stool
stool,,,399,567,4.4 out of 5 stars,"4,082",B01KXQ8E8U,0,,Limited time deal,Amazon's Choice,https://www.amazon.in/s?k=stool
stool,,,,,,,B09ZWF8Z53,0,,,,https://www.amazon.in/s?k=stool
stool,,,698.40,970,4.2 out of 5 stars,435,B01KXQ8C2S,0,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,399,567,4.4 out of 5 stars,"4,082",B01KXQ8E8U,0,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,659,999,4.4 out of 5 stars,"2,301",B07HKKLWZW,0,,,,https://www.amazon.in/s?k=stool
stool,,,,,4.3 out of 5 stars,"1,375",B07PJBWWWP,0,,,,https://www.amazon.in/s?k=stool
stool,,,699,999,4.1 out of 5 stars,"1,332",B07SC36V4W,0,,,,https://www.amazon.in/s?k=stool
stool,,,659,999,4.4 out of 5 stars,"2,301",B07HKKLWZW,0,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,499,899,3.8 out of 5 stars,694,B07VBFBLC7,0,,,,https://www.amazon.in/s?k=stool
stool,,,329,,4.3 out of 5 stars,"2,690",B01GRRYG6S,0,,,,https://www.amazon.in/s?k=stool
stool,,,679,849,4.0 out of 5 stars,172,B07PXFRCMF,0,,,,https://www.amazon.in/s?k=stool
stool,,,380,599,3.8 out of 5 stars,85,B07ZY4P5ZS,0,,,,https://www.amazon.in/s?k=stool
stool,,,323.48,454,3.9 out of 5 stars,282,B0742M4J16,0,,,,https://www.amazon.in/s?k=stool
stool,,,189,209,3.7 out of 5 stars,244,B08KMC4R3W,0,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,359,,4.3 out of 5 stars,"1,062",B0742LRKLQ,0,,,,https://www.amazon.in/s?k=stool
stool,,,459,999,4.4 out of 5 stars,"1,492",B07HHX768K,0,,,,https://www.amazon.in/s?k=stool
stool,,,675,899,4.3 out of 5 stars,246,B017P4UQT8,0,,,,https://www.amazon.in/s?k=stool
stool,,,399,"1,599",3.8 out of 5 stars,"1,696",B0927T6DS6,0,,,,https://www.amazon.in/s?k=stool
stool,,,699,"1,499",3.5 out of 5 stars,19,B095SK3YCG,0,,,,https://www.amazon.in/s?k=stool
stool,,,699,"1,999",4.2 out of 5 stars,24,B082YGV7C4,0,,,,https://www.amazon.in/s?k=stool
stool,,,495,670,4.6 out of 5 stars,3,FB09THGX2SY,1,,,,https://www.amazon.in/s?k=stool
stool,,,"1,999","4,100","Get it by Wednesday, May 25",,FB09Y5KGQWM,1,,,,https://www.amazon.in/s?k=stool
stool,,,"4,499","8,999",5.0 out of 5 stars,1,FB07TKJWTKB,1,,,,https://www.amazon.in/s?k=stool
stool,,,698.40,970,4.2 out of 5 stars,435,FB01KXQ8C2S,1,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,455,799,3.1 out of 5 stars,9,B09K66RXT2,0,,,,https://www.amazon.in/s?k=stool
stool,,,279,299,4.0 out of 5 stars,83,B08WJ8YYRC,0,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,282,699,3.9 out of 5 stars,163,B085WSKFPY,0,,,,https://www.amazon.in/s?k=stool
stool,,,499,"1,499",3.7 out of 5 stars,47,B07GN9HLZH,0,,,,https://www.amazon.in/s?k=stool
stool,,,663.35,"1,499",3.7 out of 5 stars,64,B075638LXP,0,Amazon Prime,Deal of the Day ,,https://www.amazon.in/s?k=stool
stool,,,"1,099","1,999",4.2 out of 5 stars,"1,351",B0192SE68W,0,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,325,899,3.5 out of 5 stars,81,B084MG2DXV,0,,,,https://www.amazon.in/s?k=stool
stool,,,399,579,4.4 out of 5 stars,173,B01KXQ8E7Q,0,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,663.35,"1,499",3.6 out of 5 stars,219,B07563BC7B,0,Amazon Prime,Deal of the Day ,,https://www.amazon.in/s?k=stool
stool,,,659,899,4.3 out of 5 stars,53,B07TCB6NSJ,0,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,399,613,4.2 out of 5 stars,77,B07R8T9ZD5,0,,Limited time deal,,https://www.amazon.in/s?k=stool
stool,,,549,999,3.5 out of 5 stars,2,B09DQQN45X,0,,,,https://www.amazon.in/s?k=stool
stool,,,575,"1,599",4.2 out of 5 stars,306,B08K2W1BS1,0,,,,https://www.amazon.in/s?k=stool
stool,,,699,"1,299",4.3 out of 5 stars,137,B08QRZDX8P,0,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,"1,190","1,490",3.8 out of 5 stars,56,B08DL8TC17,0,,,,https://www.amazon.in/s?k=stool
stool,,,255,399,4.1 out of 5 stars,10,B08L24M3MW,0,,,,https://www.amazon.in/s?k=stool
stool,,,529,999,"Get it by Monday, May 23",,B07VQ4K5KN,0,,,,https://www.amazon.in/s?k=stool
stool,,,425,,4.4 out of 5 stars,105,B01N5F6TWW,0,,,,https://www.amazon.in/s?k=stool
stool,,,475,,4.3 out of 5 stars,147,B089C1PVM2,0,,,,https://www.amazon.in/s?k=stool
stool,,,279,699,4.1 out of 5 stars,47,B095PJFNLH,0,,Deal of the Day ,,https://www.amazon.in/s?k=stool
stool,,,399,999,4.1 out of 5 stars,465,B07BZMD9SB,0,,,,https://www.amazon.in/s?k=stool
stool,,,695,899,4.4 out of 5 stars,811,B093BVXXYR,0,Amazon Prime,,,https://www.amazon.in/s?k=stool
stool,,,599,"1,099","Get it by Sunday, May 22",,B09Y4GCXFK,0,,,,https://www.amazon.in/s?k=stool
stool,,,599,"1,999",4.5 out of 5 stars,272,B08R3R2BSL,0,,,,https://www.amazon.in/s?k=stool
